prov_persona_en_situacion_violencia,edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_con_la_persona_agresora
0,32.0,1,1,0,1,0,1,0
0,43.0,1,1,0,1,0,1,0
6,50.0,1,1,0,1,0,1,5
20,50.0,0,0,0,1,0,1,5
0,39.0,0,0,0,0,1,0,2
7,37.0,1,1,0,0,0,1,5
10,30.0,0,0,0,0,0,1,0
21,24.0,1,1,0,1,0,1,0
0,27.0,1,1,0,0,0,1,0
20,18.0,1,1,0,1,0,1,0
23,13.0,0,0,1,0,0,1,4
13,38.0,1,1,0,0,0,1,5
0,48.0,1,1,1,1,0,1,5
20,46.0,1,1,0,0,0,1,5
4,23.0,1,1,1,0,0,1,2
6,19.0,0,0,0,1,0,1,0
0,52.0,1,1,1,1,1,1,5
0,50.0,1,1,0,0,0,1,0
0,32.0,1,1,0,1,0,1,5
20,38.0,0,0,0,0,0,1,0
14,25.0,1,1,0,1,0,1,5
21,26.0,1,1,0,1,0,1,5
2,43.0,1,1,1,0,0,1,5
0,28.0,1,1,1,0,0,1,5
23,23.0,1,1,0,0,0,1,5
0,19.0,1,1,1,0,0,1,2
4,33.0,1,1,0,0,0,1,0
4,40.0,0,0,0,1,1,1,0
0,27.0,1,1,0,0,1,1,5
0,44.0,0,0,0,0,1,1,5
0,24.0,0,0,0,0,1,1,5
0,24.0,1,1,1,1,1,1,0
0,27.0,1,1,1,1,1,1,0
0,25.0,1,1,1,0,1,1,5
0,22.0,1,1,1,0,0,0,6
0,37.0,0,0,0,0,0,1,4
0,28.0,1,1,0,0,1,1,0
0,25.0,1,1,0,1,1,1,5
0,36.0,1,1,1,1,1,1,5
0,31.0,1,1,0,0,1,1,5
0,44.0,0,0,0,0,0,0,2
20,28.0,1,1,1,1,0,1,5
3,28.0,1,1,0,1,0,1,5
0,40.0,1,1,0,1,0,1,0
20,38.0,1,1,0,1,0,1,5
0,28.0,1,1,0,1,1,1,5
23,18.0,1,1,0,0,0,1,5
9,38.0,1,1,0,1,0,1,5
0,38.0,1,1,0,0,0,1,5
0,42.0,1,1,0,0,1,1,5
12,26.0,1,1,1,0,0,1,5
0,31.0,1,1,0,1,0,1,5
14,40.0,1,1,0,1,0,1,0
13,23.0,1,1,0,0,0,1,5
0,22.0,1,1,0,1,0,1,0
20,27.0,1,1,1,0,0,0,2
0,27.0,1,1,0,0,0,1,5
0,25.0,1,1,0,0,0,1,0
0,32.0,1,1,0,0,0,1,5
23,18.0,1,1,0,0,0,1,4
20,19.0,0,0,0,0,1,1,0
23,20.0,0,0,0,0,0,1,0
20,27.0,1,1,0,1,0,1,0
9,24.0,1,1,0,0,0,1,5
0,33.0,0,0,0,0,0,1,0
0,45.0,1,1,1,1,0,1,0
